steps: 500, lr: 1.60e-05, avg_loss: 7.53
steps: 1000, lr: 3.20e-05, avg_loss: 6.80, run_time: 79.69
steps: 1500, lr: 4.80e-05, avg_loss: 6.38, run_time: 79.74
steps: 2000, lr: 6.40e-05, avg_loss: 6.08, run_time: 79.70
steps: 2500, lr: 8.00e-05, avg_loss: 5.83, run_time: 79.48
steps: 3000, lr: 9.60e-05, avg_loss: 5.63, run_time: 79.60
steps: 3500, lr: 1.12e-04, avg_loss: 5.47, run_time: 79.54
steps: 4000, lr: 1.28e-04, avg_loss: 5.34, run_time: 79.72
steps: 4500, lr: 1.44e-04, avg_loss: 5.22, run_time: 79.47
steps: 5000, lr: 1.60e-04, avg_loss: 4.24, run_time: 1.02e+02
steps: 5500, lr: 1.76e-04, avg_loss: 4.21, run_time: 80.44
steps: 6000, lr: 1.92e-04, avg_loss: 4.18, run_time: 79.88
steps: 6500, lr: 2.08e-04, avg_loss: 4.16, run_time: 80.38
steps: 7000, lr: 2.24e-04, avg_loss: 4.15, run_time: 80.16
steps: 7500, lr: 2.40e-04, avg_loss: 4.13, run_time: 80.15
steps: 8000, lr: 2.56e-04, avg_loss: 4.12, run_time: 80.04
steps: 8500, lr: 2.72e-04, avg_loss: 4.10, run_time: 79.87
steps: 9000, lr: 2.88e-04, avg_loss: 4.09, run_time: 79.75
steps: 9500, lr: 3.04e-04, avg_loss: 4.08, run_time: 79.72
steps: 10000, lr: 3.20e-04, avg_loss: 3.94, run_time: 1.02e+02
steps: 10500, lr: 3.36e-04, avg_loss: 3.94, run_time: 81.13
steps: 11000, lr: 3.52e-04, avg_loss: 3.93, run_time: 80.19
steps: 11500, lr: 3.68e-04, avg_loss: 3.93, run_time: 80.16
steps: 12000, lr: 3.84e-04, avg_loss: 3.92, run_time: 80.35
steps: 12500, lr: 4.00e-04, avg_loss: 3.92, run_time: 80.10
steps: 13000, lr: 4.16e-04, avg_loss: 3.91, run_time: 80.05
steps: 13500, lr: 4.32e-04, avg_loss: 3.91, run_time: 80.06
steps: 14000, lr: 4.48e-04, avg_loss: 3.90, run_time: 79.97
steps: 14500, lr: 4.64e-04, avg_loss: 3.56, run_time: 1.02e+02
steps: 15000, lr: 4.80e-04, avg_loss: 3.85, run_time: 80.48
steps: 15500, lr: 4.96e-04, avg_loss: 3.83, run_time: 80.03
steps: 16000, lr: 5.12e-04, avg_loss: 3.83, run_time: 80.20
steps: 16500, lr: 5.28e-04, avg_loss: 3.83, run_time: 80.48
steps: 17000, lr: 5.44e-04, avg_loss: 3.82, run_time: 80.22
steps: 17500, lr: 5.60e-04, avg_loss: 3.82, run_time: 80.08
steps: 18000, lr: 5.76e-04, avg_loss: 3.82, run_time: 80.26
steps: 18500, lr: 5.92e-04, avg_loss: 3.81, run_time: 79.96
steps: 19000, lr: 6.08e-04, avg_loss: 3.81, run_time: 80.12
steps: 19500, lr: 6.24e-04, avg_loss: 3.79, run_time: 1.03e+02
steps: 20000, lr: 6.40e-04, avg_loss: 3.77, run_time: 80.91
steps: 20500, lr: 6.56e-04, avg_loss: 3.77, run_time: 80.37
steps: 21000, lr: 6.72e-04, avg_loss: 3.77, run_time: 80.72
steps: 21500, lr: 6.88e-04, avg_loss: 3.76, run_time: 80.52
steps: 22000, lr: 7.04e-04, avg_loss: 3.76, run_time: 80.91
steps: 22500, lr: 7.20e-04, avg_loss: 3.76, run_time: 80.59
steps: 23000, lr: 7.36e-04, avg_loss: 3.75, run_time: 80.55
steps: 23500, lr: 7.52e-04, avg_loss: 3.75, run_time: 80.80
steps: 24000, lr: 7.68e-04, avg_loss: 3.75, run_time: 84.74
steps: 24500, lr: 7.84e-04, avg_loss: 3.75, run_time: 1.06e+02
steps: 25000, lr: 8.00e-04, avg_loss: 3.73, run_time: 81.98
