steps: 500, lr: 1.60e-05, avg_loss: 7.55
steps: 1000, lr: 3.20e-05, avg_loss: 6.90, run_time: 1.01e+02
steps: 500, lr: 1.60e-05, avg_loss: 7.52
steps: 1000, lr: 3.20e-05, avg_loss: 6.80, run_time: 79.76
steps: 1500, lr: 4.80e-05, avg_loss: 6.51, run_time: 1.01e+02
steps: 1500, lr: 4.80e-05, avg_loss: 6.38, run_time: 79.86
steps: 2000, lr: 6.40e-05, avg_loss: 6.17, run_time: 1.01e+02
steps: 2000, lr: 6.40e-05, avg_loss: 6.07, run_time: 80.01
steps: 2500, lr: 8.00e-05, avg_loss: 5.90, run_time: 1.01e+02
steps: 2500, lr: 8.00e-05, avg_loss: 5.83, run_time: 80.07
steps: 3000, lr: 9.60e-05, avg_loss: 5.63, run_time: 80.38
steps: 3000, lr: 9.60e-05, avg_loss: 5.69, run_time: 1.01e+02
steps: 3500, lr: 1.12e-04, avg_loss: 5.47, run_time: 80.21
steps: 3500, lr: 1.12e-04, avg_loss: 5.51, run_time: 1.01e+02
steps: 4000, lr: 1.28e-04, avg_loss: 5.34, run_time: 80.07
steps: 4000, lr: 1.28e-04, avg_loss: 5.37, run_time: 1.01e+02
steps: 4500, lr: 1.44e-04, avg_loss: 5.22, run_time: 80.06
steps: 4500, lr: 1.44e-04, avg_loss: 5.25, run_time: 1.01e+02
steps: 5000, lr: 1.60e-04, avg_loss: 4.24, run_time: 1.03e+02
steps: 5500, lr: 1.76e-04, avg_loss: 4.21, run_time: 80.58
steps: 5000, lr: 1.60e-04, avg_loss: 4.22, run_time: 1.29e+02
steps: 6000, lr: 1.92e-04, avg_loss: 4.18, run_time: 80.12
steps: 5500, lr: 1.76e-04, avg_loss: 4.20, run_time: 1.01e+02
steps: 6500, lr: 2.08e-04, avg_loss: 4.16, run_time: 80.42
steps: 6000, lr: 1.92e-04, avg_loss: 4.17, run_time: 1.02e+02
steps: 7000, lr: 2.24e-04, avg_loss: 4.15, run_time: 80.21
steps: 6500, lr: 2.08e-04, avg_loss: 4.15, run_time: 1.01e+02
steps: 7500, lr: 2.40e-04, avg_loss: 4.13, run_time: 79.98
steps: 8000, lr: 2.56e-04, avg_loss: 4.12, run_time: 80.06
steps: 7000, lr: 2.24e-04, avg_loss: 4.14, run_time: 1.01e+02
steps: 8500, lr: 2.72e-04, avg_loss: 4.11, run_time: 80.42
steps: 7500, lr: 2.40e-04, avg_loss: 4.12, run_time: 1.01e+02
steps: 9000, lr: 2.88e-04, avg_loss: 4.09, run_time: 80.36
steps: 8000, lr: 2.56e-04, avg_loss: 4.11, run_time: 1.01e+02
steps: 9500, lr: 3.04e-04, avg_loss: 4.08, run_time: 80.00
steps: 8500, lr: 2.72e-04, avg_loss: 4.10, run_time: 1.02e+02
steps: 10000, lr: 3.20e-04, avg_loss: 3.95, run_time: 1.03e+02
steps: 9000, lr: 2.88e-04, avg_loss: 4.09, run_time: 1.02e+02
steps: 10500, lr: 3.36e-04, avg_loss: 3.94, run_time: 80.75
steps: 11000, lr: 3.52e-04, avg_loss: 3.93, run_time: 80.30
steps: 9500, lr: 3.04e-04, avg_loss: 4.08, run_time: 1.02e+02
steps: 11500, lr: 3.68e-04, avg_loss: 3.93, run_time: 80.18
steps: 10000, lr: 3.20e-04, avg_loss: 3.96, run_time: 1.29e+02
steps: 12000, lr: 3.84e-04, avg_loss: 3.93, run_time: 80.12
steps: 12500, lr: 4.00e-04, avg_loss: 3.92, run_time: 79.98
steps: 10500, lr: 3.36e-04, avg_loss: 3.95, run_time: 1.01e+02
steps: 13000, lr: 4.16e-04, avg_loss: 3.91, run_time: 80.13
steps: 11000, lr: 3.52e-04, avg_loss: 3.94, run_time: 1.01e+02
steps: 13500, lr: 4.32e-04, avg_loss: 3.91, run_time: 80.30
steps: 11500, lr: 3.68e-04, avg_loss: 3.93, run_time: 1.02e+02
steps: 14000, lr: 4.48e-04, avg_loss: 3.90, run_time: 80.09
steps: 12000, lr: 3.84e-04, avg_loss: 3.93, run_time: 1.02e+02
steps: 14500, lr: 4.64e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 12500, lr: 4.00e-04, avg_loss: 3.92, run_time: 1.02e+02
steps: 15000, lr: 4.80e-04, avg_loss: 3.85, run_time: 80.30
steps: 15500, lr: 4.96e-04, avg_loss: 3.83, run_time: 80.12
steps: 13000, lr: 4.16e-04, avg_loss: 3.92, run_time: 1.02e+02
