steps: 500, lr: 1.60e-05, avg_loss: 7.32
steps: 1000, lr: 3.20e-05, avg_loss: 6.56, run_time: 1.64e+02
steps: 1500, lr: 4.80e-05, avg_loss: 6.06, run_time: 1.59e+02
steps: 2000, lr: 6.40e-05, avg_loss: 5.71, run_time: 2.42e+02
steps: 2500, lr: 8.00e-05, avg_loss: 5.46, run_time: 1.59e+02
steps: 3000, lr: 9.60e-05, avg_loss: 5.27, run_time: 1.72e+02
steps: 3500, lr: 1.12e-04, avg_loss: 5.13, run_time: 1.59e+02
steps: 4000, lr: 1.28e-04, avg_loss: 5.01, run_time: 1.59e+02
steps: 4500, lr: 1.44e-04, avg_loss: 4.91, run_time: 1.59e+02
steps: 5000, lr: 1.60e-04, avg_loss: 4.09, run_time: 2.03e+02
steps: 5500, lr: 1.76e-04, avg_loss: 4.07, run_time: 1.59e+02
steps: 6000, lr: 1.92e-04, avg_loss: 4.05, run_time: 1.59e+02
steps: 6500, lr: 2.08e-04, avg_loss: 4.03, run_time: 1.59e+02
steps: 7000, lr: 2.24e-04, avg_loss: 4.02, run_time: 1.59e+02
steps: 7500, lr: 2.40e-04, avg_loss: 4.01, run_time: 1.59e+02
steps: 8000, lr: 2.56e-04, avg_loss: 4.00, run_time: 1.59e+02
steps: 8500, lr: 2.72e-04, avg_loss: 3.99, run_time: 1.59e+02
steps: 9000, lr: 2.88e-04, avg_loss: 3.98, run_time: 1.59e+02
steps: 9500, lr: 3.04e-04, avg_loss: 3.97, run_time: 1.59e+02
steps: 10000, lr: 3.20e-04, avg_loss: 3.89, run_time: 2.02e+02
steps: 10500, lr: 3.36e-04, avg_loss: 3.86, run_time: 1.59e+02
steps: 11000, lr: 3.52e-04, avg_loss: 3.86, run_time: 1.59e+02
steps: 11500, lr: 3.68e-04, avg_loss: 3.85, run_time: 1.59e+02
steps: 12000, lr: 3.84e-04, avg_loss: 3.85, run_time: 1.59e+02
steps: 12500, lr: 4.00e-04, avg_loss: 3.85, run_time: 1.59e+02
steps: 13000, lr: 4.16e-04, avg_loss: 3.84, run_time: 1.59e+02
steps: 13500, lr: 4.32e-04, avg_loss: 3.83, run_time: 1.59e+02
steps: 14000, lr: 4.48e-04, avg_loss: 3.83, run_time: 1.59e+02
steps: 14500, lr: 4.64e-04, avg_loss: 3.62, run_time: 2.03e+02
steps: 15000, lr: 4.80e-04, avg_loss: 3.78, run_time: 1.59e+02
steps: 15500, lr: 4.96e-04, avg_loss: 3.76, run_time: 1.59e+02
steps: 16000, lr: 5.12e-04, avg_loss: 3.75, run_time: 1.59e+02
steps: 16500, lr: 5.28e-04, avg_loss: 3.75, run_time: 1.59e+02
steps: 17000, lr: 5.44e-04, avg_loss: 3.75, run_time: 1.60e+02
steps: 17500, lr: 5.60e-04, avg_loss: 3.74, run_time: 1.60e+02
steps: 18000, lr: 5.76e-04, avg_loss: 3.74, run_time: 1.60e+02
steps: 18500, lr: 5.92e-04, avg_loss: 3.73, run_time: 1.59e+02
steps: 19000, lr: 6.08e-04, avg_loss: 3.73, run_time: 1.59e+02
steps: 19500, lr: 6.24e-04, avg_loss: 3.70, run_time: 2.03e+02
steps: 20000, lr: 6.40e-04, avg_loss: 3.68, run_time: 1.59e+02
steps: 20500, lr: 6.56e-04, avg_loss: 3.68, run_time: 1.59e+02
steps: 21000, lr: 6.72e-04, avg_loss: 3.68, run_time: 2.79e+02
steps: 21500, lr: 6.88e-04, avg_loss: 3.68, run_time: 1.59e+02
steps: 22000, lr: 7.04e-04, avg_loss: 3.68, run_time: 1.59e+02
steps: 22500, lr: 7.20e-04, avg_loss: 3.67, run_time: 2.58e+02
steps: 23000, lr: 7.36e-04, avg_loss: 3.67, run_time: 1.59e+02
steps: 23500, lr: 7.52e-04, avg_loss: 3.67, run_time: 1.64e+02
