steps: 0, lr: 8.00e-04, avg_loss: 0.00e+00
steps: 0, lr: 8.00e-04, avg_loss: 9.16, run_time: 3.79e-01
steps: 0, lr: 8.00e-04, avg_loss: 0.00e+00
steps: 0, lr: 8.00e-04, avg_loss: 9.14, run_time: 4.07e-01
steps: 500, lr: 1.60e-05, avg_loss: 7.69, run_time: 6.19e+02
steps: 500, lr: 1.60e-05, avg_loss: 7.69, run_time: 4.32e-01
steps: 500, lr: 1.60e-05, avg_loss: 7.69, run_time: 4.05e-01
steps: 1000, lr: 3.20e-05, avg_loss: 5.97, run_time: 6.91e+02
steps: 1000, lr: 3.20e-05, avg_loss: 5.97, run_time: 4.37e-01
steps: 1000, lr: 3.20e-05, avg_loss: 5.97, run_time: 4.00e-01
steps: 1500, lr: 4.80e-05, avg_loss: 5.54, run_time: 6.18e+02
steps: 1500, lr: 4.80e-05, avg_loss: 5.54, run_time: 4.39e-01
steps: 1500, lr: 4.80e-05, avg_loss: 5.54, run_time: 4.07e-01
steps: 2000, lr: 6.40e-05, avg_loss: 4.86, run_time: 6.97e+02
steps: 2000, lr: 6.40e-05, avg_loss: 4.86, run_time: 4.42e-01
steps: 2000, lr: 6.40e-05, avg_loss: 4.86, run_time: 4.05e-01
steps: 2500, lr: 8.00e-05, avg_loss: 4.58, run_time: 7.01e+02
steps: 2500, lr: 8.00e-05, avg_loss: 4.58, run_time: 4.41e-01
steps: 2500, lr: 8.00e-05, avg_loss: 4.58, run_time: 4.04e-01
steps: 3000, lr: 9.60e-05, avg_loss: 4.52, run_time: 6.19e+02
steps: 3000, lr: 9.60e-05, avg_loss: 4.52, run_time: 4.40e-01
steps: 3000, lr: 9.60e-05, avg_loss: 4.52, run_time: 4.03e-01
steps: 3500, lr: 1.12e-04, avg_loss: 4.39, run_time: 6.52e+02
steps: 3500, lr: 1.12e-04, avg_loss: 4.39, run_time: 4.44e-01
steps: 3500, lr: 1.12e-04, avg_loss: 4.39, run_time: 4.11e-01
steps: 4000, lr: 1.28e-04, avg_loss: 4.32, run_time: 1.31e+03
steps: 4000, lr: 1.28e-04, avg_loss: 4.32, run_time: 4.59e-01
steps: 4000, lr: 1.28e-04, avg_loss: 4.32, run_time: 4.02e-01
steps: 4500, lr: 1.44e-04, avg_loss: 4.28, run_time: 6.19e+02
steps: 4500, lr: 1.44e-04, avg_loss: 4.28, run_time: 4.51e-01
steps: 4500, lr: 1.44e-04, avg_loss: 4.28, run_time: 4.04e-01
steps: 5000, lr: 1.60e-04, avg_loss: 4.23, run_time: 6.91e+02
steps: 5000, lr: 1.60e-04, avg_loss: 4.23, run_time: 4.33e-01
steps: 5000, lr: 1.60e-04, avg_loss: 4.23, run_time: 4.10e-01
steps: 5500, lr: 1.76e-04, avg_loss: 4.17, run_time: 7.25e+02
steps: 5500, lr: 1.76e-04, avg_loss: 4.17, run_time: 4.07e-01
steps: 5500, lr: 1.76e-04, avg_loss: 4.17, run_time: 4.13e-01
