loss: 1.33e+04, accuracy: 1.04e-02, num_masked: 2880, ratio_masked: 6.38e-01, diversity_loss: 6.78e-02, prob_perplex: 5.97e+02, code_perplex: 5.93e+02, num_vars: 640, temp: 2.00, backprop_loss: 1.33e+04, total_loss: 1.33e+04, steps: 500, lr: 8.33e-06, avg_loss: 1.36e+04
loss: 1.27e+04, accuracy: 1.20e-02, num_masked: 2760, ratio_masked: 6.44e-01, diversity_loss: 5.32e-02, prob_perplex: 6.06e+02, code_perplex: 6.02e+02, num_vars: 640, temp: 1.99, backprop_loss: 1.27e+04, total_loss: 1.27e+04, steps: 1000, lr: 1.67e-05, avg_loss: 1.35e+04, run_time: 2.81e+02
loss: 1.36e+04, accuracy: 3.52e-02, num_masked: 3040, ratio_masked: 6.45e-01, diversity_loss: 1.45e-01, prob_perplex: 5.47e+02, code_perplex: 5.41e+02, num_vars: 640, temp: 1.99, backprop_loss: 1.36e+04, total_loss: 1.36e+04, steps: 1500, lr: 2.50e-05, avg_loss: 1.35e+04, run_time: 2.81e+02
loss: 1.29e+04, accuracy: 4.64e-02, num_masked: 3060, ratio_masked: 6.54e-01, diversity_loss: 5.11e-01, prob_perplex: 3.13e+02, code_perplex: 3.01e+02, num_vars: 640, temp: 1.98, backprop_loss: 1.30e+04, total_loss: 1.30e+04, steps: 2000, lr: 3.33e-05, avg_loss: 1.33e+04, run_time: 2.80e+02
loss: 1.20e+04, accuracy: 1.08e-01, num_masked: 3120, ratio_masked: 6.33e-01, diversity_loss: 6.72e-01, prob_perplex: 2.10e+02, code_perplex: 1.93e+02, num_vars: 640, temp: 1.98, backprop_loss: 1.23e+04, total_loss: 1.23e+04, steps: 2500, lr: 4.17e-05, avg_loss: 1.31e+04, run_time: 2.80e+02
loss: 1.09e+04, accuracy: 1.25e-01, num_masked: 2880, ratio_masked: 6.38e-01, diversity_loss: 6.41e-01, prob_perplex: 2.30e+02, code_perplex: 2.11e+02, num_vars: 640, temp: 1.97, backprop_loss: 1.11e+04, total_loss: 1.11e+04, steps: 3000, lr: 5.00e-05, avg_loss: 1.28e+04, run_time: 2.80e+02
loss: 1.08e+04, accuracy: 1.66e-01, num_masked: 2940, ratio_masked: 6.46e-01, diversity_loss: 6.64e-01, prob_perplex: 2.15e+02, code_perplex: 2.02e+02, num_vars: 640, temp: 1.97, backprop_loss: 1.10e+04, total_loss: 1.10e+04, steps: 3500, lr: 5.83e-05, avg_loss: 1.25e+04, run_time: 2.81e+02
loss: 1.35e+04, accuracy: 8.16e-02, num_masked: 3200, ratio_masked: 6.57e-01, diversity_loss: 7.32e-01, prob_perplex: 1.72e+02, code_perplex: 1.63e+02, num_vars: 640, temp: 1.96, backprop_loss: 1.37e+04, total_loss: 1.37e+04, steps: 4000, lr: 6.67e-05, avg_loss: 1.23e+04, run_time: 2.81e+02
loss: 9.78e+03, accuracy: 2.02e-01, num_masked: 2880, ratio_masked: 6.37e-01, diversity_loss: 6.83e-01, prob_perplex: 2.03e+02, code_perplex: 1.94e+02, num_vars: 640, temp: 1.96, backprop_loss: 9.98e+03, total_loss: 9.98e+03, steps: 4500, lr: 7.50e-05, avg_loss: 1.21e+04, run_time: 2.80e+02
loss: 1.01e+04, accuracy: 2.41e-01, num_masked: 3150, ratio_masked: 6.58e-01, diversity_loss: 6.54e-01, prob_perplex: 2.21e+02, code_perplex: 2.15e+02, num_vars: 640, temp: 1.95, backprop_loss: 1.03e+04, total_loss: 1.03e+04, steps: 5000, lr: 8.33e-05, avg_loss: 9.81e+03, run_time: 3.52e+02
loss: 8.95e+03, accuracy: 2.40e-01, num_masked: 2800, ratio_masked: 6.35e-01, diversity_loss: 6.59e-01, prob_perplex: 2.19e+02, code_perplex: 2.12e+02, num_vars: 640, temp: 1.95, backprop_loss: 9.13e+03, total_loss: 9.13e+03, steps: 5500, lr: 9.17e-05, avg_loss: 9.73e+03, run_time: 2.80e+02
loss: 8.99e+03, accuracy: 2.33e-01, num_masked: 2760, ratio_masked: 6.49e-01, diversity_loss: 6.59e-01, prob_perplex: 2.18e+02, code_perplex: 2.11e+02, num_vars: 640, temp: 1.94, backprop_loss: 9.17e+03, total_loss: 9.17e+03, steps: 6000, lr: 1.00e-04, avg_loss: 9.60e+03, run_time: 2.81e+02
loss: 9.01e+03, accuracy: 2.70e-01, num_masked: 3000, ratio_masked: 6.32e-01, diversity_loss: 6.62e-01, prob_perplex: 2.17e+02, code_perplex: 2.12e+02, num_vars: 640, temp: 1.94, backprop_loss: 9.21e+03, total_loss: 9.21e+03, steps: 6500, lr: 1.08e-04, avg_loss: 9.53e+03, run_time: 2.81e+02
loss: 9.01e+03, accuracy: 2.50e-01, num_masked: 2880, ratio_masked: 6.41e-01, diversity_loss: 6.20e-01, prob_perplex: 2.43e+02, code_perplex: 2.38e+02, num_vars: 640, temp: 1.93, backprop_loss: 9.19e+03, total_loss: 9.19e+03, steps: 7000, lr: 1.17e-04, avg_loss: 9.45e+03, run_time: 2.81e+02
loss: 8.98e+03, accuracy: 2.88e-01, num_masked: 3000, ratio_masked: 6.22e-01, diversity_loss: 6.07e-01, prob_perplex: 2.51e+02, code_perplex: 2.46e+02, num_vars: 640, temp: 1.93, backprop_loss: 9.16e+03, total_loss: 9.16e+03, steps: 7500, lr: 1.25e-04, avg_loss: 9.38e+03, run_time: 2.81e+02
loss: 7.88e+03, accuracy: 2.77e-01, num_masked: 2650, ratio_masked: 6.45e-01, diversity_loss: 6.20e-01, prob_perplex: 2.43e+02, code_perplex: 2.38e+02, num_vars: 640, temp: 1.92, backprop_loss: 8.04e+03, total_loss: 8.04e+03, steps: 8000, lr: 1.33e-04, avg_loss: 9.31e+03, run_time: 2.81e+02
loss: 8.87e+03, accuracy: 3.09e-01, num_masked: 3060, ratio_masked: 6.51e-01, diversity_loss: 6.10e-01, prob_perplex: 2.49e+02, code_perplex: 2.43e+02, num_vars: 640, temp: 1.92, backprop_loss: 9.05e+03, total_loss: 9.05e+03, steps: 8500, lr: 1.42e-04, avg_loss: 9.24e+03, run_time: 2.81e+02
loss: 8.03e+03, accuracy: 3.32e-01, num_masked: 2880, ratio_masked: 6.44e-01, diversity_loss: 6.04e-01, prob_perplex: 2.54e+02, code_perplex: 2.48e+02, num_vars: 640, temp: 1.91, backprop_loss: 8.20e+03, total_loss: 8.20e+03, steps: 9000, lr: 1.50e-04, avg_loss: 9.18e+03, run_time: 2.81e+02
loss: 7.46e+03, accuracy: 3.30e-01, num_masked: 2650, ratio_masked: 6.46e-01, diversity_loss: 6.03e-01, prob_perplex: 2.54e+02, code_perplex: 2.49e+02, num_vars: 640, temp: 1.91, backprop_loss: 7.62e+03, total_loss: 7.62e+03, steps: 9500, lr: 1.58e-04, avg_loss: 9.12e+03, run_time: 2.80e+02
loss: 7.54e+03, accuracy: 3.25e-01, num_masked: 2700, ratio_masked: 6.28e-01, diversity_loss: 5.99e-01, prob_perplex: 2.56e+02, code_perplex: 2.51e+02, num_vars: 640, temp: 1.90, backprop_loss: 7.71e+03, total_loss: 7.71e+03, steps: 10000, lr: 1.67e-04, avg_loss: 8.52e+03, run_time: 3.51e+02
loss: 8.67e+03, accuracy: 3.04e-01, num_masked: 3000, ratio_masked: 6.35e-01, diversity_loss: 6.27e-01, prob_perplex: 2.39e+02, code_perplex: 2.33e+02, num_vars: 640, temp: 1.90, backprop_loss: 8.86e+03, total_loss: 8.86e+03, steps: 10500, lr: 1.75e-04, avg_loss: 8.49e+03, run_time: 2.80e+02
loss: 8.08e+03, accuracy: 3.11e-01, num_masked: 2880, ratio_masked: 6.43e-01, diversity_loss: 6.04e-01, prob_perplex: 2.54e+02, code_perplex: 2.47e+02, num_vars: 640, temp: 1.89, backprop_loss: 8.26e+03, total_loss: 8.26e+03, steps: 11000, lr: 1.83e-04, avg_loss: 8.43e+03, run_time: 2.80e+02
loss: 8.31e+03, accuracy: 3.37e-01, num_masked: 3040, ratio_masked: 6.46e-01, diversity_loss: 5.88e-01, prob_perplex: 2.64e+02, code_perplex: 2.58e+02, num_vars: 640, temp: 1.89, backprop_loss: 8.49e+03, total_loss: 8.49e+03, steps: 11500, lr: 1.92e-04, avg_loss: 8.40e+03, run_time: 2.80e+02
loss: 7.65e+03, accuracy: 3.25e-01, num_masked: 2760, ratio_masked: 6.52e-01, diversity_loss: 5.83e-01, prob_perplex: 2.67e+02, code_perplex: 2.63e+02, num_vars: 640, temp: 1.88, backprop_loss: 7.81e+03, total_loss: 7.81e+03, steps: 12000, lr: 2.00e-04, avg_loss: 8.36e+03, run_time: 2.80e+02
loss: 8.45e+03, accuracy: 3.08e-01, num_masked: 3040, ratio_masked: 6.46e-01, diversity_loss: 5.76e-01, prob_perplex: 2.72e+02, code_perplex: 2.67e+02, num_vars: 640, temp: 1.88, backprop_loss: 8.62e+03, total_loss: 8.62e+03, steps: 12500, lr: 2.08e-04, avg_loss: 8.33e+03, run_time: 2.81e+02
loss: 7.55e+03, accuracy: 3.12e-01, num_masked: 2650, ratio_masked: 6.54e-01, diversity_loss: 6.14e-01, prob_perplex: 2.47e+02, code_perplex: 2.41e+02, num_vars: 640, temp: 1.87, backprop_loss: 7.71e+03, total_loss: 7.71e+03, steps: 13000, lr: 2.17e-04, avg_loss: 8.30e+03, run_time: 2.81e+02
loss: 7.24e+03, accuracy: 3.03e-01, num_masked: 2600, ratio_masked: 6.33e-01, diversity_loss: 5.85e-01, prob_perplex: 2.66e+02, code_perplex: 2.61e+02, num_vars: 640, temp: 1.87, backprop_loss: 7.40e+03, total_loss: 7.40e+03, steps: 13500, lr: 2.25e-04, avg_loss: 8.27e+03, run_time: 2.80e+02
loss: 7.58e+03, accuracy: 3.49e-01, num_masked: 2940, ratio_masked: 6.47e-01, diversity_loss: 6.00e-01, prob_perplex: 2.56e+02, code_perplex: 2.50e+02, num_vars: 640, temp: 1.86, backprop_loss: 7.75e+03, total_loss: 7.75e+03, steps: 14000, lr: 2.33e-04, avg_loss: 8.24e+03, run_time: 2.81e+02
loss: 6.96e+03, accuracy: 3.74e-01, num_masked: 2760, ratio_masked: 6.41e-01, diversity_loss: 5.84e-01, prob_perplex: 2.66e+02, code_perplex: 2.59e+02, num_vars: 640, temp: 1.86, backprop_loss: 7.12e+03, total_loss: 7.12e+03, steps: 14500, lr: 2.42e-04, avg_loss: 7.69e+03, run_time: 3.50e+02
loss: 7.14e+03, accuracy: 3.67e-01, num_masked: 2760, ratio_masked: 6.44e-01, diversity_loss: 6.12e-01, prob_perplex: 2.48e+02, code_perplex: 2.43e+02, num_vars: 640, temp: 1.86, backprop_loss: 7.31e+03, total_loss: 7.31e+03, steps: 15000, lr: 2.50e-04, avg_loss: 7.94e+03, run_time: 2.81e+02
loss: 7.60e+03, accuracy: 3.66e-01, num_masked: 3010, ratio_masked: 6.30e-01, diversity_loss: 5.88e-01, prob_perplex: 2.64e+02, code_perplex: 2.57e+02, num_vars: 640, temp: 1.85, backprop_loss: 7.78e+03, total_loss: 7.78e+03, steps: 15500, lr: 2.58e-04, avg_loss: 7.87e+03, run_time: 2.81e+02
loss: 7.89e+03, accuracy: 3.47e-01, num_masked: 3000, ratio_masked: 6.33e-01, diversity_loss: 6.01e-01, prob_perplex: 2.56e+02, code_perplex: 2.50e+02, num_vars: 640, temp: 1.85, backprop_loss: 8.07e+03, total_loss: 8.07e+03, steps: 16000, lr: 2.67e-04, avg_loss: 7.85e+03, run_time: 2.81e+02
loss: 7.47e+03, accuracy: 3.55e-01, num_masked: 2880, ratio_masked: 6.39e-01, diversity_loss: 5.90e-01, prob_perplex: 2.62e+02, code_perplex: 2.57e+02, num_vars: 640, temp: 1.84, backprop_loss: 7.64e+03, total_loss: 7.64e+03, steps: 16500, lr: 2.75e-04, avg_loss: 7.83e+03, run_time: 2.80e+02
loss: 7.98e+03, accuracy: 3.44e-01, num_masked: 3010, ratio_masked: 6.30e-01, diversity_loss: 5.92e-01, prob_perplex: 2.61e+02, code_perplex: 2.53e+02, num_vars: 640, temp: 1.84, backprop_loss: 8.16e+03, total_loss: 8.16e+03, steps: 17000, lr: 2.83e-04, avg_loss: 7.82e+03, run_time: 2.81e+02
loss: 7.91e+03, accuracy: 3.66e-01, num_masked: 3060, ratio_masked: 6.40e-01, diversity_loss: 5.64e-01, prob_perplex: 2.79e+02, code_perplex: 2.73e+02, num_vars: 640, temp: 1.83, backprop_loss: 8.08e+03, total_loss: 8.08e+03, steps: 17500, lr: 2.92e-04, avg_loss: 7.80e+03, run_time: 2.81e+02
loss: 7.45e+03, accuracy: 3.72e-01, num_masked: 2880, ratio_masked: 6.37e-01, diversity_loss: 5.97e-01, prob_perplex: 2.58e+02, code_perplex: 2.51e+02, num_vars: 640, temp: 1.83, backprop_loss: 7.62e+03, total_loss: 7.62e+03, steps: 18000, lr: 3.00e-04, avg_loss: 7.78e+03, run_time: 2.80e+02
loss: 7.65e+03, accuracy: 3.70e-01, num_masked: 2940, ratio_masked: 6.58e-01, diversity_loss: 5.67e-01, prob_perplex: 2.77e+02, code_perplex: 2.71e+02, num_vars: 640, temp: 1.82, backprop_loss: 7.81e+03, total_loss: 7.81e+03, steps: 18500, lr: 3.08e-04, avg_loss: 7.76e+03, run_time: 2.81e+02
loss: 6.68e+03, accuracy: 3.90e-01, num_masked: 2700, ratio_masked: 6.41e-01, diversity_loss: 5.81e-01, prob_perplex: 2.68e+02, code_perplex: 2.62e+02, num_vars: 640, temp: 1.82, backprop_loss: 6.84e+03, total_loss: 6.84e+03, steps: 19000, lr: 3.17e-04, avg_loss: 7.74e+03, run_time: 2.81e+02
loss: 7.32e+03, accuracy: 4.02e-01, num_masked: 3060, ratio_masked: 6.46e-01, diversity_loss: 5.66e-01, prob_perplex: 2.78e+02, code_perplex: 2.73e+02, num_vars: 640, temp: 1.81, backprop_loss: 7.49e+03, total_loss: 7.49e+03, steps: 19500, lr: 3.25e-04, avg_loss: 7.52e+03, run_time: 3.52e+02
loss: 7.41e+03, accuracy: 3.60e-01, num_masked: 2880, ratio_masked: 6.44e-01, diversity_loss: 5.56e-01, prob_perplex: 2.84e+02, code_perplex: 2.78e+02, num_vars: 640, temp: 1.81, backprop_loss: 7.57e+03, total_loss: 7.57e+03, steps: 20000, lr: 3.33e-04, avg_loss: 7.53e+03, run_time: 2.81e+02
loss: 7.57e+03, accuracy: 3.78e-01, num_masked: 3060, ratio_masked: 6.53e-01, diversity_loss: 5.58e-01, prob_perplex: 2.83e+02, code_perplex: 2.76e+02, num_vars: 640, temp: 1.81, backprop_loss: 7.74e+03, total_loss: 7.74e+03, steps: 20500, lr: 3.42e-04, avg_loss: 7.53e+03, run_time: 2.81e+02
loss: 7.20e+03, accuracy: 3.81e-01, num_masked: 2900, ratio_masked: 6.35e-01, diversity_loss: 5.74e-01, prob_perplex: 2.73e+02, code_perplex: 2.67e+02, num_vars: 640, temp: 1.80, backprop_loss: 7.36e+03, total_loss: 7.36e+03, steps: 21000, lr: 3.50e-04, avg_loss: 7.52e+03, run_time: 2.81e+02
loss: 6.33e+03, accuracy: 4.13e-01, num_masked: 2700, ratio_masked: 6.33e-01, diversity_loss: 5.62e-01, prob_perplex: 2.80e+02, code_perplex: 2.75e+02, num_vars: 640, temp: 1.80, backprop_loss: 6.48e+03, total_loss: 6.48e+03, steps: 21500, lr: 3.58e-04, avg_loss: 7.49e+03, run_time: 2.80e+02
loss: 6.75e+03, accuracy: 3.71e-01, num_masked: 2760, ratio_masked: 6.48e-01, diversity_loss: 5.90e-01, prob_perplex: 2.63e+02, code_perplex: 2.56e+02, num_vars: 640, temp: 1.79, backprop_loss: 6.92e+03, total_loss: 6.92e+03, steps: 22000, lr: 3.67e-04, avg_loss: 7.48e+03, run_time: 2.80e+02
loss: 8.19e+03, accuracy: 3.57e-01, num_masked: 3080, ratio_masked: 6.38e-01, diversity_loss: 5.61e-01, prob_perplex: 2.81e+02, code_perplex: 2.75e+02, num_vars: 640, temp: 1.79, backprop_loss: 8.37e+03, total_loss: 8.37e+03, steps: 22500, lr: 3.75e-04, avg_loss: 7.47e+03, run_time: 2.81e+02
loss: 7.31e+03, accuracy: 3.95e-01, num_masked: 3060, ratio_masked: 6.46e-01, diversity_loss: 5.58e-01, prob_perplex: 2.83e+02, code_perplex: 2.78e+02, num_vars: 640, temp: 1.78, backprop_loss: 7.48e+03, total_loss: 7.48e+03, steps: 23000, lr: 3.83e-04, avg_loss: 7.46e+03, run_time: 2.81e+02
loss: 7.00e+03, accuracy: 3.77e-01, num_masked: 2880, ratio_masked: 6.41e-01, diversity_loss: 5.73e-01, prob_perplex: 2.73e+02, code_perplex: 2.67e+02, num_vars: 640, temp: 1.78, backprop_loss: 7.16e+03, total_loss: 7.16e+03, steps: 23500, lr: 3.92e-04, avg_loss: 7.45e+03, run_time: 2.80e+02
loss: 7.64e+03, accuracy: 3.56e-01, num_masked: 2940, ratio_masked: 6.50e-01, diversity_loss: 5.77e-01, prob_perplex: 2.71e+02, code_perplex: 2.65e+02, num_vars: 640, temp: 1.77, backprop_loss: 7.81e+03, total_loss: 7.81e+03, steps: 24000, lr: 4.00e-04, avg_loss: 7.44e+03, run_time: 2.81e+02
loss: 7.75e+03, accuracy: 3.77e-01, num_masked: 3000, ratio_masked: 6.25e-01, diversity_loss: 5.48e-01, prob_perplex: 2.89e+02, code_perplex: 2.84e+02, num_vars: 640, temp: 1.77, backprop_loss: 7.91e+03, total_loss: 7.91e+03, steps: 24500, lr: 4.08e-04, avg_loss: 7.34e+03, run_time: 3.51e+02
loss: 7.60e+03, accuracy: 3.87e-01, num_masked: 3060, ratio_masked: 6.48e-01, diversity_loss: 5.66e-01, prob_perplex: 2.78e+02, code_perplex: 2.71e+02, num_vars: 640, temp: 1.77, backprop_loss: 7.77e+03, total_loss: 7.77e+03, steps: 25000, lr: 4.17e-04, avg_loss: 7.31e+03, run_time: 2.81e+02
loss: 6.61e+03, accuracy: 4.03e-01, num_masked: 2760, ratio_masked: 6.44e-01, diversity_loss: 5.54e-01, prob_perplex: 2.86e+02, code_perplex: 2.79e+02, num_vars: 640, temp: 1.76, backprop_loss: 6.76e+03, total_loss: 6.76e+03, steps: 25500, lr: 4.25e-04, avg_loss: 7.28e+03, run_time: 2.80e+02
loss: 6.21e+03, accuracy: 4.03e-01, num_masked: 2650, ratio_masked: 6.35e-01, diversity_loss: 5.54e-01, prob_perplex: 2.85e+02, code_perplex: 2.80e+02, num_vars: 640, temp: 1.76, backprop_loss: 6.36e+03, total_loss: 6.36e+03, steps: 26000, lr: 4.33e-04, avg_loss: 7.27e+03, run_time: 2.81e+02
loss: 7.17e+03, accuracy: 3.77e-01, num_masked: 2880, ratio_masked: 6.42e-01, diversity_loss: 5.88e-01, prob_perplex: 2.64e+02, code_perplex: 2.56e+02, num_vars: 640, temp: 1.75, backprop_loss: 7.34e+03, total_loss: 7.34e+03, steps: 26500, lr: 4.42e-04, avg_loss: 7.26e+03, run_time: 2.81e+02
loss: 6.36e+03, accuracy: 3.97e-01, num_masked: 2650, ratio_masked: 6.38e-01, diversity_loss: 5.74e-01, prob_perplex: 2.72e+02, code_perplex: 2.66e+02, num_vars: 640, temp: 1.75, backprop_loss: 6.51e+03, total_loss: 6.51e+03, steps: 27000, lr: 4.50e-04, avg_loss: 7.24e+03, run_time: 2.81e+02
loss: 7.18e+03, accuracy: 4.01e-01, num_masked: 3000, ratio_masked: 6.42e-01, diversity_loss: 5.81e-01, prob_perplex: 2.68e+02, code_perplex: 2.61e+02, num_vars: 640, temp: 1.74, backprop_loss: 7.36e+03, total_loss: 7.36e+03, steps: 27500, lr: 4.58e-04, avg_loss: 7.23e+03, run_time: 2.81e+02
loss: 6.84e+03, accuracy: 3.94e-01, num_masked: 2880, ratio_masked: 6.37e-01, diversity_loss: 5.77e-01, prob_perplex: 2.71e+02, code_perplex: 2.64e+02, num_vars: 640, temp: 1.74, backprop_loss: 7.00e+03, total_loss: 7.00e+03, steps: 28000, lr: 4.67e-04, avg_loss: 7.22e+03, run_time: 2.81e+02
loss: 7.78e+03, accuracy: 3.56e-01, num_masked: 3080, ratio_masked: 6.48e-01, diversity_loss: 5.74e-01, prob_perplex: 2.73e+02, code_perplex: 2.65e+02, num_vars: 640, temp: 1.73, backprop_loss: 7.96e+03, total_loss: 7.96e+03, steps: 28500, lr: 4.75e-04, avg_loss: 7.21e+03, run_time: 2.82e+02
loss: 6.17e+03, accuracy: 4.21e-01, num_masked: 2600, ratio_masked: 6.27e-01, diversity_loss: 5.64e-01, prob_perplex: 2.79e+02, code_perplex: 2.72e+02, num_vars: 640, temp: 1.73, backprop_loss: 6.31e+03, total_loss: 6.31e+03, steps: 29000, lr: 4.83e-04, avg_loss: 7.30e+03, run_time: 3.51e+02
loss: 6.25e+03, accuracy: 4.49e-01, num_masked: 2870, ratio_masked: 6.35e-01, diversity_loss: 5.68e-01, prob_perplex: 2.76e+02, code_perplex: 2.72e+02, num_vars: 640, temp: 1.73, backprop_loss: 6.41e+03, total_loss: 6.41e+03, steps: 29500, lr: 4.92e-04, avg_loss: 7.10e+03, run_time: 2.82e+02
loss: 6.32e+03, accuracy: 3.98e-01, num_masked: 2700, ratio_masked: 6.28e-01, diversity_loss: 5.76e-01, prob_perplex: 2.71e+02, code_perplex: 2.64e+02, num_vars: 640, temp: 1.72, backprop_loss: 6.48e+03, total_loss: 6.48e+03, steps: 30000, lr: 5.00e-04, avg_loss: 7.08e+03, run_time: 2.81e+02
loss: 6.35e+03, accuracy: 4.46e-01, num_masked: 2880, ratio_masked: 6.43e-01, diversity_loss: 5.73e-01, prob_perplex: 2.74e+02, code_perplex: 2.67e+02, num_vars: 640, temp: 1.72, backprop_loss: 6.51e+03, total_loss: 6.51e+03, steps: 30500, lr: 4.58e-04, avg_loss: 7.05e+03, run_time: 2.81e+02
loss: 6.22e+03, accuracy: 3.98e-01, num_masked: 2650, ratio_masked: 6.35e-01, diversity_loss: 5.84e-01, prob_perplex: 2.66e+02, code_perplex: 2.60e+02, num_vars: 640, temp: 1.71, backprop_loss: 6.38e+03, total_loss: 6.38e+03, steps: 31000, lr: 4.57e-04, avg_loss: 7.03e+03, run_time: 2.81e+02
loss: 8.09e+03, accuracy: 3.88e-01, num_masked: 3300, ratio_masked: 6.75e-01, diversity_loss: 5.49e-01, prob_perplex: 2.88e+02, code_perplex: 2.84e+02, num_vars: 640, temp: 1.71, backprop_loss: 8.27e+03, total_loss: 8.27e+03, steps: 31500, lr: 4.57e-04, avg_loss: 7.02e+03, run_time: 2.80e+02
loss: 6.92e+03, accuracy: 4.20e-01, num_masked: 2940, ratio_masked: 6.58e-01, diversity_loss: 5.58e-01, prob_perplex: 2.83e+02, code_perplex: 2.77e+02, num_vars: 640, temp: 1.70, backprop_loss: 7.09e+03, total_loss: 7.09e+03, steps: 32000, lr: 4.56e-04, avg_loss: 7.02e+03, run_time: 2.81e+02
loss: 7.17e+03, accuracy: 4.07e-01, num_masked: 3000, ratio_masked: 6.43e-01, diversity_loss: 5.70e-01, prob_perplex: 2.75e+02, code_perplex: 2.70e+02, num_vars: 640, temp: 1.70, backprop_loss: 7.34e+03, total_loss: 7.34e+03, steps: 32500, lr: 4.56e-04, avg_loss: 7.01e+03, run_time: 2.81e+02
loss: 6.64e+03, accuracy: 4.31e-01, num_masked: 3000, ratio_masked: 6.31e-01, diversity_loss: 5.55e-01, prob_perplex: 2.85e+02, code_perplex: 2.80e+02, num_vars: 640, temp: 1.70, backprop_loss: 6.81e+03, total_loss: 6.81e+03, steps: 33000, lr: 4.55e-04, avg_loss: 7.00e+03, run_time: 2.81e+02
loss: 6.98e+03, accuracy: 4.02e-01, num_masked: 3000, ratio_masked: 6.64e-01, diversity_loss: 5.51e-01, prob_perplex: 2.87e+02, code_perplex: 2.82e+02, num_vars: 640, temp: 1.69, backprop_loss: 7.15e+03, total_loss: 7.15e+03, steps: 33500, lr: 4.54e-04, avg_loss: 6.99e+03, run_time: 2.81e+02
loss: 7.84e+03, accuracy: 3.92e-01, num_masked: 3150, ratio_masked: 6.42e-01, diversity_loss: 5.43e-01, prob_perplex: 2.93e+02, code_perplex: 2.88e+02, num_vars: 640, temp: 1.69, backprop_loss: 8.01e+03, total_loss: 8.01e+03, steps: 34000, lr: 4.54e-04, avg_loss: 6.90e+03, run_time: 3.52e+02
loss: 7.51e+03, accuracy: 3.81e-01, num_masked: 3060, ratio_masked: 6.48e-01, diversity_loss: 5.68e-01, prob_perplex: 2.76e+02, code_perplex: 2.70e+02, num_vars: 640, temp: 1.68, backprop_loss: 7.68e+03, total_loss: 7.68e+03, steps: 34500, lr: 4.53e-04, avg_loss: 6.85e+03, run_time: 2.81e+02
loss: 7.25e+03, accuracy: 3.88e-01, num_masked: 3060, ratio_masked: 6.45e-01, diversity_loss: 5.80e-01, prob_perplex: 2.69e+02, code_perplex: 2.62e+02, num_vars: 640, temp: 1.68, backprop_loss: 7.43e+03, total_loss: 7.43e+03, steps: 35000, lr: 4.52e-04, avg_loss: 6.83e+03, run_time: 2.81e+02
loss: 7.15e+03, accuracy: 4.11e-01, num_masked: 3080, ratio_masked: 6.51e-01, diversity_loss: 5.51e-01, prob_perplex: 2.88e+02, code_perplex: 2.82e+02, num_vars: 640, temp: 1.67, backprop_loss: 7.32e+03, total_loss: 7.32e+03, steps: 35500, lr: 4.52e-04, avg_loss: 6.82e+03, run_time: 2.81e+02
loss: 6.49e+03, accuracy: 4.38e-01, num_masked: 2940, ratio_masked: 6.51e-01, diversity_loss: 5.62e-01, prob_perplex: 2.80e+02, code_perplex: 2.75e+02, num_vars: 640, temp: 1.67, backprop_loss: 6.66e+03, total_loss: 6.66e+03, steps: 36000, lr: 4.51e-04, avg_loss: 6.83e+03, run_time: 2.80e+02
