loss: 2.12e+04, accuracy: 1.09e-02, num_masked: 4590, ratio_masked: 6.39e-01, diversity_loss: 2.27e-01, prob_perplex: 4.95e+02, code_perplex: 4.86e+02, num_vars: 640, temp: 2.00, backprop_loss: 2.13e+04, total_loss: 2.13e+04, steps: 500, lr: 8.33e-06, avg_loss: 2.12e+04
loss: 1.99e+04, accuracy: 2.00e-02, num_masked: 4510, ratio_masked: 6.34e-01, diversity_loss: 2.00e-01, prob_perplex: 5.12e+02, code_perplex: 5.08e+02, num_vars: 640, temp: 1.99, backprop_loss: 2.00e+04, total_loss: 2.00e+04, steps: 1000, lr: 1.67e-05, avg_loss: 2.09e+04, run_time: 1.22e+03
loss: 1.92e+04, accuracy: 2.13e-02, num_masked: 4320, ratio_masked: 6.55e-01, diversity_loss: 3.83e-01, prob_perplex: 3.95e+02, code_perplex: 3.76e+02, num_vars: 640, temp: 1.99, backprop_loss: 1.94e+04, total_loss: 1.94e+04, steps: 1500, lr: 2.50e-05, avg_loss: 1.97e+04, run_time: 1.29e+03
loss: 1.83e+04, accuracy: 9.79e-02, num_masked: 4730, ratio_masked: 6.37e-01, diversity_loss: 4.36e-01, prob_perplex: 3.61e+02, code_perplex: 3.31e+02, num_vars: 640, temp: 1.98, backprop_loss: 1.85e+04, total_loss: 1.85e+04, steps: 2000, lr: 3.33e-05, avg_loss: 1.91e+04, run_time: 1.22e+03
loss: 1.74e+04, accuracy: 1.44e-01, num_masked: 4730, ratio_masked: 6.39e-01, diversity_loss: 4.99e-01, prob_perplex: 3.20e+02, code_perplex: 2.98e+02, num_vars: 640, temp: 1.98, backprop_loss: 1.77e+04, total_loss: 1.77e+04, steps: 2500, lr: 4.17e-05, avg_loss: 1.76e+04, run_time: 1.31e+03
loss: 1.78e+04, accuracy: 1.03e-01, num_masked: 4500, ratio_masked: 6.42e-01, diversity_loss: 5.03e-01, prob_perplex: 3.18e+02, code_perplex: 3.03e+02, num_vars: 640, temp: 1.97, backprop_loss: 1.80e+04, total_loss: 1.80e+04, steps: 3000, lr: 5.00e-05, avg_loss: 1.71e+04, run_time: 1.22e+03
loss: 1.89e+04, accuracy: 5.77e-02, num_masked: 4400, ratio_masked: 6.45e-01, diversity_loss: 5.34e-01, prob_perplex: 2.98e+02, code_perplex: 2.83e+02, num_vars: 640, temp: 1.97, backprop_loss: 1.91e+04, total_loss: 1.91e+04, steps: 3500, lr: 5.83e-05, avg_loss: 1.59e+04, run_time: 1.30e+03
loss: 1.50e+04, accuracy: 2.18e-01, num_masked: 4590, ratio_masked: 6.39e-01, diversity_loss: 4.68e-01, prob_perplex: 3.40e+02, code_perplex: 3.28e+02, num_vars: 640, temp: 1.96, backprop_loss: 1.52e+04, total_loss: 1.52e+04, steps: 4000, lr: 6.67e-05, avg_loss: 1.56e+04, run_time: 1.22e+03
loss: 1.42e+04, accuracy: 1.98e-01, num_masked: 4240, ratio_masked: 6.39e-01, diversity_loss: 5.23e-01, prob_perplex: 3.05e+02, code_perplex: 2.95e+02, num_vars: 640, temp: 1.96, backprop_loss: 1.44e+04, total_loss: 1.44e+04, steps: 4500, lr: 7.50e-05, avg_loss: 1.48e+04, run_time: 1.29e+03
loss: 1.43e+04, accuracy: 2.53e-01, num_masked: 4420, ratio_masked: 5.99e-01, diversity_loss: 4.61e-01, prob_perplex: 3.45e+02, code_perplex: 3.33e+02, num_vars: 640, temp: 1.95, backprop_loss: 1.45e+04, total_loss: 1.45e+04, steps: 5000, lr: 8.33e-05, avg_loss: 1.46e+04, run_time: 1.22e+03
loss: 1.30e+04, accuracy: 2.84e-01, num_masked: 4410, ratio_masked: 6.49e-01, diversity_loss: 4.22e-01, prob_perplex: 3.70e+02, code_perplex: 3.60e+02, num_vars: 640, temp: 1.95, backprop_loss: 1.32e+04, total_loss: 1.32e+04, steps: 5500, lr: 9.17e-05, avg_loss: 1.42e+04, run_time: 1.30e+03
